"State","Abb","all_avg_diff","Active Rate","all_active_rate","active","category"
"Alaska","AK",-0.27,"111.9%",1.11942245214541,"112%",-0.3
"Maryland","MD",-0.11,"96.5%",0.964795256085331,"96%",-0.15
"Delaware","DE",-0.1,"94.8%",0.948365037224258,"95%",-0.1
"Oregon","OR",-0.1,"94.7%",0.947156999017161,"95%",-0.1
"Michigan","MI",-0.1,"94.6%",0.945600942858355,"95%",-0.1
"Kentucky","KY",-0.09,"93.5%",0.93530039124815,"94%",-0.1
"New Jersey","NJ",-0.0800000000000001,"93.2%",0.932449580888259,"93%",-0.1
"Virginia","VA",-0.0800000000000001,"92.6%",0.92590208919647,"93%",-0.1
"District of Columbia","DC",-0.0700000000000001,"92.5%",0.924555811482593,"92%",-0.1
"Maine","ME",-0.0700000000000001,"91.6%",0.916191162420242,"92%",-0.1
"Nevada","NV",-0.0700000000000001,"91.6%",0.915520123216627,"92%",-0.1
"South Dakota","SD",-0.0600000000000001,"90.9%",0.908763183795652,"91%",-0.1
"Colorado","CO",-0.05,"90.4%",0.904388699598737,"90%",-0.05
"Georgia","GA",-0.05,"90.2%",0.901792701659017,"90%",-0.05
"Alabama","AL",-0.05,"89.5%",0.895245748060659,"90%",-0.05
"New Hampshire","NH",-0.04,"89.5%",0.894984482489021,"89%",-0.05
"Illinois","IL",-0.04,"89.2%",0.89166778739094,"89%",-0.05
"Mississippi","MS",-0.04,"88.9%",0.888850945055734,"89%",-0.05
"Minnesota","MN",-0.04,"88.6%",0.886111911435544,"89%",-0.05
"New York","NY",-0.03,"87.6%",0.876485998874434,"88%",-0.05
"Washington","WA",-0.03,"87.5%",0.875385624683612,"88%",-0.05
"Vermont","VT",-0.03,"87.5%",0.875244967631137,"88%",-0.05
"Rhode Island","RI",-0.02,"87.4%",0.873590258077908,"87%",-0.05
"North Carolina","NC",-0.02,"86.6%",0.866242387491656,"87%",-0.05
"Kansas","KS",-0.02,"86.5%",0.865101754275695,"87%",-0.05
"California","CA",-0.01,"85.7%",0.856738861288298,"86%",-0.05
"Connecticut","CT",0,"85.1%",0.85056931881115,"85%",0
"Wisconsin","WI",0,"85.0%",0.849934307669325,"85%",0
"Florida","FL",0,"84.7%",0.847207586429885,"85%",0
"Indiana","IN",0.01,"84.3%",0.842847211425577,"84%",0.05
"Pennsylvania","PA",0.01,"83.9%",0.839479859435895,"84%",0.05
"Missouri","MO",0.01,"83.8%",0.83822434186777,"84%",0.05
"Massachusetts","MA",0.01,"83.8%",0.83782949910441,"84%",0.05
"Nebraska","NE",0.02,"83.2%",0.832230041862643,"83%",0.05
"Tennessee","TN",0.02,"82.9%",0.829350591389149,"83%",0.05
"South Carolina","SC",0.02,"82.7%",0.82747155086973,"83%",0.05
"Texas","TX",0.0499999999999999,"80.4%",0.804431320188555,"80%",0.05
"Louisiana","LA",0.0499999999999999,"80.1%",0.800941788348761,"80%",0.05
"New Mexico","NM",0.0499999999999999,"79.9%",0.799364891292577,"80%",0.05
"West Virginia","WV",0.0499999999999999,"79.5%",0.795054809526145,"80%",0.05
"Arizona","AZ",0.0599999999999999,"79.3%",0.793199388554817,"79%",0.1
"Montana","MT",0.08,"77.1%",0.77122636248868,"77%",0.1
"Utah","UT",0.08,"77.0%",0.77044383204155,"77%",0.1
"Iowa","IA",0.11,"74.4%",0.744171625851791,"74%",0.15
"Hawaii","HI",0.11,"73.5%",0.735135048127998,"74%",0.15
"Idaho","ID",0.12,"72.8%",0.728266271617311,"73%",0.15
"Ohio","OH",0.12,"72.5%",0.72543645915326,"73%",0.15
"Oklahoma","OK",0.15,"70.1%",0.700686394203961,"70%",0.15
"Wyoming","WY",0.19,"65.8%",0.657545408851266,"66%",0.2
"North Dakota*","ND*","NA","62.3%","NA","NA","NA"
"Arkansas","AR",0.26,"59.1%",0.591391008402111,"59%",0.3
